Fonction = pre_processing | Temps d'éxécution = 0.11661887168884277
##########  Exécution du 04/11/2021 18:38:01  ##########
Fonction = init_app | Temps d'éxécution = 0.29825305938720703
Fonction = init_df | Temps d'éxécution = 83.44307804107666
Fonction = missing_rate | Temps d'éxécution = 2.61586594581604
Fonction = cleaning | Temps d'éxécution = 3.962275981903076
Fonction = pre_processing | Temps d'éxécution = 1.639617919921875
Fonction = processing | Temps d'éxécution = 8.1320641040802
Fonction = init_data | Temps d'éxécution = 100.87419700622559
Fonction = init_sidebar | Temps d'éxécution = 0.004690885543823242
Fonction = process_commune | Temps d'éxécution = 0.3047759532928467
Fonction = process_departement | Temps d'éxécution = 0.21034908294677734
Fonction = process_commune_square | Temps d'éxécution = 0.26963090896606445
Fonction = process_local_region | Temps d'éxécution = 0.22707819938659668
Fonction = init_charts | Temps d'éxécution = 4.288431167602539
Fonction = process_commune_square | Temps d'éxécution = 0.12315869331359863
Fonction = process_departement_square | Temps d'éxécution = 0.20945096015930176
Fonction = process_square | Temps d'éxécution = 0.23825597763061523
Fonction = init_square | Temps d'éxécution = 4.946131944656372
Fonction = init_map | Temps d'éxécution = 5.428774833679199
##########  Exécution du 04/11/2021 18:40:06  ##########
Fonction = init_app | Temps d'éxécution = 0.0009579658508300781
Fonction = pre_processing | Temps d'éxécution = 0.12222790718078613
Fonction = processing | Temps d'éxécution = 8.722633123397827
Fonction = process_commune | Temps d'éxécution = 0.0994720458984375
Fonction = process_departement | Temps d'éxécution = 0.12193584442138672
Fonction = process_commune_square | Temps d'éxécution = 0.14838314056396484
Fonction = process_departement_square | Temps d'éxécution = 0.10883808135986328
Fonction = init_data | Temps d'éxécution = 10.87421989440918
Fonction = init_sidebar | Temps d'éxécution = 0.009259939193725586
Fonction = process_commune | Temps d'éxécution = 0.17597126960754395
Fonction = process_departement | Temps d'éxécution = 0.10987687110900879
Fonction = process_commune_square | Temps d'éxécution = 0.11083698272705078
Fonction = process_local_region | Temps d'éxécution = 0.10337519645690918
Fonction = init_charts | Temps d'éxécution = 4.228478908538818
Fonction = process_commune_square | Temps d'éxécution = 0.12357187271118164
Fonction = process_departement_square | Temps d'éxécution = 0.10676789283752441
Fonction = process_square | Temps d'éxécution = 0.08090019226074219
##########  Exécution du 04/11/2021 18:40:27  ##########
Fonction = init_app | Temps d'éxécution = 0.0015330314636230469
Fonction = processing | Temps d'éxécution = 0.19138193130493164
Fonction = init_data | Temps d'éxécution = 0.7554299831390381
Fonction = init_sidebar | Temps d'éxécution = 0.0052568912506103516
Fonction = process_commune | Temps d'éxécution = 0.12303304672241211
Fonction = process_departement | Temps d'éxécution = 0.09064674377441406
Fonction = process_commune_square | Temps d'éxécution = 0.11701297760009766
Fonction = process_local_region | Temps d'éxécution = 0.09269976615905762
Fonction = init_charts | Temps d'éxécution = 3.7589900493621826
Fonction = process_commune_square | Temps d'éxécution = 0.0992429256439209
Fonction = process_departement_square | Temps d'éxécution = 0.08727502822875977
Fonction = process_square | Temps d'éxécution = 0.10870194435119629
Fonction = init_square | Temps d'éxécution = 5.194026947021484
Fonction = init_map | Temps d'éxécution = 5.864521026611328
##########  Exécution du 04/11/2021 18:40:54  ##########
Fonction = init_app | Temps d'éxécution = 0.001007080078125
Fonction = missing_rate | Temps d'éxécution = 2.774972915649414
Fonction = cleaning | Temps d'éxécution = 4.307015895843506
Fonction = pre_processing | Temps d'éxécution = 1.8945262432098389
Fonction = processing | Temps d'éxécution = 9.686115026473999
Fonction = init_data | Temps d'éxécution = 19.822160243988037
Fonction = init_sidebar | Temps d'éxécution = 0.0046536922454833984
Fonction = process_commune | Temps d'éxécution = 0.30264711380004883
Fonction = process_departement | Temps d'éxécution = 0.20964288711547852
Fonction = process_commune_square | Temps d'éxécution = 0.3232409954071045
Fonction = process_local_region | Temps d'éxécution = 0.29526710510253906
Fonction = init_charts | Temps d'éxécution = 4.404456853866577
Fonction = process_commune_square | Temps d'éxécution = 0.12644219398498535
